Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Організатор,Код ЄДРПОУ,Вартість,Посилання
2147499,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 19:00,Послуги надання доступу до всесвітньої мережі Інтернет (63 лота),"ДП ""Київська міська дирекція УДППЗ ""Укрпошта""""",1189979,1 022 943.6 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3508562/
2135676,Опубліковано: 16.02.2018,Прийом пропозицій до: 05.03.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України",39958500,248 830 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3488592/
2176583,Опубліковано: 26.02.2018,Прийом пропозицій до: 28.02.2018 18:00,Послуги інтернету,Київський міський Палац ветеранів,23731686,7 100 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3558169/
2139357,Опубліковано: 16.02.2018,Прийом пропозицій до: 05.03.2018 19:00,Послуги надання доступу до всесвітньої мережі Інтернет,"ДП ""Київська міська дирекція УДППЗ ""Укрпошта""""",1189979,1 737 267.6 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3494877/
2129165,Опубліковано: 14.02.2018,Прийом пропозицій до: 01.03.2018 20:00,12. Послуги Інтернет - провайдерів,Господарсько-фінансовий департамент Секретаріату Кабінету міністрів України,19442,350 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3477666/
2100069,Опубліковано: 08.02.2018,Прийом пропозицій до: 28.02.2018 17:00,ДК 021:2015-72411000-4 Постачальники інтернет-послуг (Послуги доступу до міжнародної комп’ютерної мережі ),"Державне підприємство ""СЕТАМ"" Міністерства юстиції України",39958500,20 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3426756/
2164835,Опубліковано: 22.02.2018,Прийом пропозицій до: 02.03.2018 17:00,Послуги інтернету,"Комунальний позашкільний навчальний заклад ""Дніпропетровський обласний дитячо-юнацький кіноцентр ""Ве",13422561,10 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3537910/
2141670,Опубліковано: 16.02.2018,Прийом пропозицій до: 05.03.2018 18:00,Послуги надання доступу до всесвітньої мережі Інтернет,"Луганська дирекція УДППЗ ""Укрпошта""",21796581,2 489 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3498603/
2153038,Опубліковано: 20.02.2018,Прийом пропозицій до: 08.03.2018 18:00,Послуги Інтернет,"ДП ""Укрпошта Сумська дирекція""",22981300,555 738.67 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3518120/
2160199,Опубліковано: 21.02.2018,Прийом пропозицій до: 08.03.2018 22:00,Послуги провайдерів (послуги із підключення та надання доступу до мережі Інтернет),"ПК ""Департамент гуманітарної політики Дніпропетровської міської ради""",40506248,1 000 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3530191/
2163502,Опубліковано: 22.02.2018,Прийом пропозицій до: 12.03.2018 19:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для центру «АРТ-Хаб»),"ПАТ ""УКРПОШТА""",21560045,92 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3535734/
2163750,Опубліковано: 22.02.2018,Прийом пропозицій до: 10.03.2018 14:14,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Рівненської  дирекції ПАТ ""Укрпошта"") Лот №1 на 8точок; Лот № 2 на 6 точок; Лот №3 на 15 точок; Лот № 4 на 3 точки; Лот № 5 на 3 точки","Рівненська дирекція УДППЗ ""Укрпошта""",22565760,583 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3536140/
2128978,Опубліковано: 14.02.2018,Прийом пропозицій до: 02.03.2018 10:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Закарпатської дирекції),"ДП ""Закарпатськка дирекція УДППЗ ""Укрпошта""""",20454128,1 278 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3477372/
2136485,Опубліковано: 16.02.2018,Прийом пропозицій до: 06.03.2018 12:00,"Послуги надання доступу до всесвітньої мережі Інтернет для Чернівецької дирекції  Лот №1 - 24 точок на суму: 352 800,00 грн.з ПДВ; Лот №2 - 19 точок на суму: 277 200,00 грн з ПДВ","Чернівецька дирекція УДППЗ ""Укрпошта""",1189689,630 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3489993/
2137842,Опубліковано: 16.02.2018,Прийом пропозицій до: 05.03.2018 12:30,Послуги провайдерів (Інтернет-послуги),Ужгородське вище комерційне училище Київського національного торговельно-економічного університету,35619393,2 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3492348/
2141665,Опубліковано: 16.02.2018,Прийом пропозицій до: 05.03.2018 18:00,Послуги з надання доступу до мережі інтернет,"Державна установа ""Український інститут книги""",41137547,25 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3498593/
2158782,Опубліковано: 21.02.2018,Прийом пропозицій до: 28.02.2018 15:59,Послуги доступу до мережі Інтернет,Головне управління Пенсійного фонду України в Хмельницькій області,21318350,53 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3527710/
2154906,Опубліковано: 21.02.2018,Прийом пропозицій до: 08.03.2018 10:00,ДК 021:2015 72410000-7 Послуги провайдерів (Послуги по обслуговуванню лінії зв’язку і постійного доступу до мережі Інтернет).,Управління освіти та інноваційного розвитку Печерської в місті Києві РДА,39833860,1 248 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3521337/
2152180,Опубліковано: 20.02.2018,Прийом пропозицій до: 01.03.2018 00:00,"Послуги у сфері інформаційних технологій: консультування, розробка програмного забезпечення, послуги мережі Інтернет і послуги з підтримки",Республіканський науково-методичний кабінет,3768003,165 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3516637/
2135167,Опубліковано: 15.02.2018,Прийом пропозицій до: 02.03.2018 21:00,"закупівлю Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"")","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""",22046132,133 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3487781/
2135138,Опубліковано: 15.02.2018,Прийом пропозицій до: 02.03.2018 21:00,"закупівлю Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"")","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""",22046132,90 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3487731/
2146702,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  м. Ковель 7 точок підключення),"ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,111 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507142/
2134344,Опубліковано: 15.02.2018,Прийом пропозицій до: 02.03.2018 19:00,"закупівлю Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"")","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""",22046132,82 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3486404/
2174391,Опубліковано: 26.02.2018,Прийом пропозицій до: 28.02.2018 16:00,"Монтаж, установка мережі для доступу до інтернет","КНП ""Центр первинної медико-санітарної допомоги №4"" Деснянського р-ну м.Києва",38960345,40 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3554522/
2178183,Опубліковано: 26.02.2018,Прийом пропозицій до: 14.03.2018 10:00,Послуги щодо передачі даних VPN мережами та Інтернетом,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНІ ІНФОРМАЦІЙНІ СИСТЕМИ""",39787008,3 000 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3560905/
2128049,Опубліковано: 14.02.2018,Прийом пропозицій до: 01.03.2018 18:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Одеської  дирекції ПАТ «Укрпошта»),"ДП ""Одеська дирекция  УДППЗ ""Укрпошта""""",22485297,910 047.6 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3475714/
2153591,Опубліковано: 20.02.2018,Прийом пропозицій до: 07.03.2018 19:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"")","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""",22046132,230 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3519100/
2137233,Опубліковано: 16.02.2018,Прийом пропозицій до: 03.03.2018 18:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Одеської  дирекції ПАТ «Укрпошта»),"ДП ""Одеська дирекция  УДППЗ ""Укрпошта""""",22485297,1 787 002.56 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3491292/
2131218,Опубліковано: 15.02.2018,Прийом пропозицій до: 02.03.2018 18:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Одеської  дирекції ПАТ «Укрпошта»),"ДП ""Одеська дирекция  УДППЗ ""Укрпошта""""",22485297,1 687 724.64 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3481206/
2149724,Опубліковано: 20.02.2018,Прийом пропозицій до: 07.03.2018 17:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"")","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""",22046132,383 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3512622/
2153488,Опубліковано: 20.02.2018,Прийом пропозицій до: 07.03.2018 19:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"")","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""",22046132,255 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3518905/
2160279,Опубліковано: 21.02.2018,Прийом пропозицій до: 09.03.2018 09:00,Послуги передачі даних  рівня L2,"Державне підприємство ""Мультимедійна платформа іномовлення України""",40235671,291 160 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3530324/
2146806,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  3 точки підключення Горохівського району),"ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,47 700 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507339/
2146878,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  3 точки підключення Маневицького району),"ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,47 700 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507458/
2146799,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  7 точок підключення Володимир-Волинського району),"ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,111 300 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507332/
2139860,Опубліковано: 16.02.2018,Прийом пропозицій до: 05.03.2018 09:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для  Черкаської  дирекції ПАТ «Укрпошта»),"ДП ""Черкаська дирекція УДППЗ Укрпошта""",21389969,263 088 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3495684/
2142541,Опубліковано: 19.02.2018,Прийом пропозицій до: 06.03.2018 17:00,"оплата послуг телефонного зв’язку, послуги інтернет",УПРАВЛІННЯ ОСВІТИ ПОДІЛЬСЬКОЇ РАЙОННОЇ В МІСТІ КИЄВІ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,37393777,319 417 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3499998/
2146956,Опубліковано: 19.02.2018,Прийом пропозицій до: 07.03.2018 00:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Волинської дирекції ПАТ «Укрпошта») –  12 точок підключення (6 точок Камінь-Каширського району, 2 точки Ковельського району, 1 точка Любешівського району, 2 точки Старовижівського району, 1 точк...","ДП ""Волинська дирекція УДППЗ ""Укрпошта""""",20134234,190 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3507586/
2138743,Опубліковано: 16.02.2018,Прийом пропозицій до: 04.03.2018 23:59,ДК 021:2015 – 64210000-1 Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Запорізької дирекції),"ДП ""Запорізька дирекція УДППЗ ""Укрпошта""""",20509800,343 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3493875/
2168430,Опубліковано: 23.02.2018,Прийом пропозицій до: 12.03.2018 23:59,ДК 021:2015 – 64210000-1 Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Запорізької дирекції),"ДП ""Запорізька дирекція УДППЗ ""Укрпошта""""",20509800,62 320 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3544011/
2166246,Опубліковано: 22.02.2018,Прийом пропозицій до: 11.03.2018 18:00,Послуги провайдерів за кодом ДК 021:2015 – 72410000-7 (послуги захисту зовнішніх електронних інформаційних сервісів Фонду гарантування вкладів фізичних осіб від зловмисних атак в мережі Інтернет),Фонд гарантування вкладів фізичних осіб,21708016,273 080 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3540233/
